market,change_24_hour,high,low,volume,last_price,bid,ask,timestamp
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.75000000,1603562468
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.76000000,1603562470
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.76000000,1603562473
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.75000000,1603562474
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.75000000,1603562475
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562487
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562488
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562489
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562492
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562494
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562495
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562507
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562508
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562510
BTCINR,1.909,984228.46,964046.58,6240018.27868459704731462,982453.41,981765.74000000,984555.74000000,1603562512
